Samsung Galaxy A9 Pro,1302
HTC Nexus 9,1718
LG Nexus 5X,1016
Samsung Galaxy S III,475
Google Pixel,1615
Meizu M1 Metal,775
Huawei P8lite,540
Xiaomi MI-2,545
LG G Pad 8.3,705
Samsung Galaxy Tab S 10.5,779
Asus Nexus 7,383
Xiaomi MI-2a,742
Meizu M3 Note,719
Sony Xperia M4 Aqua,600
Samsung Galaxy S4 Value Edition,720
Sony Xperia ZG Compact,1234
Samsung Galaxy S III mini,306
Samsung Galaxy Note 7,1510
Samsung Galaxy Note 4,972
Samsung Galaxy Note 5,1306
Samsung Galaxy Note 8,1805
Xiaomi Redmi Note 2,776
Samsung Galaxy Grand 2,418
Xiaomi Redmi Note 3,1407
Xiaomi Redmi Note 4,1485
Motorola Nexus 6,1005
Samsung Galaxy Note 3,758
Lenovo P70,717
Samsung Galaxy J7 Prime,680
Samsung Galaxy Nexus,413
Samsung Galaxy Tab Pro 8.4,966
HTC Droid DNA,531
Lenovo ZUK Z2 Pro,1478
Sony Xperia Z Ultra,972
LG G Flex 2,1188
Oppo F1s,644
Sony Xperia Z5,1241
Samsung Galaxy Tab 2 10.1,312
Sony Xperia X Performance,1559
Samsung Galaxy S7 Active,1522
Motorola DROID Turbo,1009
Sony Xperia Z3,991
Sony Xperia Z2,954
Samsung Galaxy Alpha,783
Sony Xperia Z1,970
Samsung Galaxy Tab S 8.4,783
Sony Xperia X Compact,1377
Huawei P9 lite,791
Sony Xperia ZL,540
Xiaomi MI 4LTE,891
OnePlus X,948
NVIDIA Shield,877
Samsung Galaxy Note II,582
Elephone P9000,723
Motorola Moto E (2nd Gen.),499
Sony Xperia XZ,1573
Samsung Galaxy Note 10.1,532
Samsung Galaxy Note 10.1 3G,528
Motorola Moto X Force,1280
OnePlus 3,1698
Samsung Galaxy Tab 3 8.0,478
OnePlus 2,1042
Samsung Galaxy S4 Mini,629
OnePlus 5,1687
Motorola Moto G4,667
Motorola Moto G3,552
Samsung Galaxy S7 edge,1470
Motorola Moto G4 Play,506
Sony Xperia SP,729
Huawei Ascend P1,392
HTC One,704
Xiaomi Mi Note Pro,1214
Lenovo Vibe K4 Note,597
LG Optimus G Pro,685
Xiaomi Redmi Pro,1663
HTC Desire 510,514
Motorola Moto G Turbo Edition,588
Xiaomi Mi 3,911
Xiaomi Mi 4,879
Xiaomi Mi 5,1611
Samsung Galaxy S5 Mini,402
Xiaomi Mi 4i,618
Motorola Moto Z,1537
Motorola Moto X,716
Samsung Galaxy A3,495
LG Nexus 5,896
Huawei P10 Plus,1885
LG Nexus 4,533
Asus Zenfone 3 Max,664
Huawei Honor 8,1668
Huawei Honor 7,762
Huawei Honor 6,737
Xiaomi Mi 4c,1079
Xiaomi MI 6,1904
Huawei G8,619
Meizu M1 Note,786
Samsung Galaxy Grand Prime,407
Samsung Galaxy S3 Neo,468
Meizu M2,590
Motorola Moto X (2014),1001
NVIDIA SHIELD Tablet K1,1024
Motorola Moto G,429
Xiaomi Redmi Note 4X,832
ZTE Nubia Z11,1663
Sony Xperia Z5 Premium Dual,1250
HTC One X,422
Sony Xperia Z3+,1212
Xiaomi Redmi 4,836
Xiaomi Redmi 3,633
LG Optimus G,513
LG Optimus 4X HD,383
Asus Zenfone 2 Laser,514
Sony Xperia Tablet Z,542
LeEco Le Pro3,1816
Xiaomi Mi Note,919
HTC One (M8x),970
Samsung Galaxy S6,1263
Samsung Galaxy S5,930
Samsung Galaxy S8,1772
ZTE Axon 7,1643
Samsung Galaxy S7,1550
Xiaomi MI 5s,1626
Samsung Galaxy S4,682
Lenovo P2,842
LeEco Le Max 2,1661
Motorola Moto G (2014),424
Samsung Galaxy S6 edge+,1316
ASUS MeMO Pad 7,908
Lenovo K3 Note,725
Vernee Apollo Lite,1616
Huawei Honor 6X,811
Samsung Galaxy S II,418
Motorola Moto X Play,634
Samsung Galaxy Tab 2 7.0 (WiFi),310
Samsung Galaxy Note,463
Sony Xperia Z5 Dual,1229
Google Pixel C,1356
Huawei Honor 5X,624
HTC Desire 820,574
Xiaomi Mi Note 2,1767
Samsung Galaxy Note 8.0,579
Huawei Honor 5c,791
NVIDIA Tegra Note,791
Xiaomi MI PAD 2,1053
Lenovo ZUK Z1,1024
Lenovo ZUK Z2,1624
LG V20,1566
Huawei P9 Plus,1776
Samsung Galaxy S6 Active,1290
Lenovo Vibe K5,607
Huawei Honor V9,1873
LeEco Le 1s,826
Huawei Honor V8,1814
Xiaomi Mi Mix,1755
Lenovo A7000,726
ZTE Zmax Pro,699
Samsung Galaxy A7 (2016),639
Google Pixel 2,1857
Motorola Moto G5 Plus,833
Samsung Galaxy S6 edge,1295
Sony Xperia Z3 Compact,977
Samsung Galaxy Note 10.1 (2014),770
HTC One A9,673
Samsung Galaxy A3 (2016),612
Meizu PRO 5,1359
Meizu M2 Note,579
Meizu MX4 Pro,840
Motorola Moto Z Play,818
Nokia 3,548
Nokia 5,671
Oppo Find 5,545
Samsung Galaxy A7 (2017),773
Samsung Galaxy J5 Prime,599
Google Pixel XL,1623
LeMobile Le X527,1414
Sony Xperia Z5 Premium,1273
Asus Zenfone Selfie,586
Google Pixel 2 XL,1868
LG V10,985
Meizu Pro 6,1363
NVIDIA SHIELD Tablet,1021
Nokia 6,663
Samsung Galaxy S4 (Google Play Edition),735
Samsung Galaxy Tab S 8.4 LTE,772
Xiaomi MI MAX,1389
Samsung Galaxy Tab S2 9.7,995
Samsung Galaxy S8+,1786
LeEco Le 2,1416
Motorola Moto X Style,1125
OnePlus One,1000
Xiaomi Redmi 4A,663
Xiaomi Redmi 3s,632
Samsung Galaxy S4 Duos,627
Huawei P8,693
Huawei P9,1717
Asus Zenfone Max,383
Meizu PRO 6 Plus,1450
Asus Zenfone 2,1043
Asus Zenfone 3,846
Huawei P10,1860
Samsung Nexus 10,800
Samsung Galaxy Note 3 Neo,707
Barnes & Noble Nook HD+,487
Huawei Nexus 6P,1245
Huawei Mate 9 Pro,1862
Sony Xperia ZR,543
Sony Xperia Z,538
HTC 10,1573
Sony Xperia X,1379
Meizu M3s,625
Nextbit Robin,1127
HTC One (M9),1206
Samsung Galaxy Tab A 10.1,703
Sony Xperia M,367
Samsung Galaxy J5,493
Samsung Galaxy J7,690
Asus Nexus 7 (2013),663
Samsung Galaxy J3,443
Huawei MediaPad M3 8.4,1684
Samsung Galaxy S4 Active,717
Samsung Galaxy Tab 2 7.0,309
Xiaomi MI 5s Plus,1790
HTC One (M8),951
Motorola RAZR XT910,368
Samsung Galaxy Tab S2 8.0,1365
Samsung Galaxy S5 Plus,1009
Lenovo K5 Note,685
Huawei Mate 8,1684
LG G5,1648
Samsung Galaxy Tab Pro 10.1,806
Huawei Mate 9,1870
LG G4,1079
Sony Xperia Z1 Compact,977
LG G3,938
LG G2,990
Oppo F1 Plus,771
LeEco Le2 Pro,1473
Samsung Galaxy A5 (2016),640
Samsung Galaxy S5 Neo,639
Samsung Galaxy Tab S2 9.7 (2016),1371
Samsung Galaxy A5 (2017),775
Samsung Galaxy Note5 Duos,1281
Meizu MX5,814
Meizu MX6,1491
Sony Xperia M5,731
Meizu MX4,763
