NVIDIA Tegra 3 T30,986
ST-Ericsson NovaThor U8420,488
Intel Atom x5-Z8500,3077
Qualcomm MSM8939v2 Snapdragon 616,2042
Nvidia Tegra X1,3224
Hisilicon Kirin 960,6064
Samsung Exynos 7880,4126
Qualcomm MSM8998 Snapdragon 835,6293
Qualcomm MSM8953 Snapdragon 625,4111
Qualcomm Snapdragon 400,1080
Qualcomm MSM8975AC Snapdragon 801,2118
Qualcomm MSM8274AB Snapdragon 801,2057
Samsung Exynos 5260,1647
HiSilicon Kirin 950,5383
Qualcomm Snapdragon S4 Pro APQ8064,1706
Qualcomm MSM8994 Snapdragon 810,3393
Samsung Exynos 7580 Octa,3075
Mediatek MT6755 Helio P10,2948
Samsung Exynos 4412,1483
Qualcomm MSM8974AC Snapdragon 801,2691
Samsung Exynos 4212,758
Qualcomm Snapdragon 600,1793
Samsung Exynos 8890,5343
Qualcomm MSM8992 Snapdragon 808,2799
Qualcomm MSM8916 Snapdragon 410,1417
Samsung Exynos 4210,689
Qualcomm MSM8976 Snapdragon 652,4238
Mediatek MT6797T Helio X25,4030
Qualcomm Snapdragon 800,2536
MediaTek MT6595,2612
NVIDIA Tegra K1,2757
Mediatek MT6797 Helio X20,4425
Qualcomm Snapdragon S4 MSM8960,773
Qualcomm MSM8952 Snapdragon 617,3320
Mediatek MT6753,2362
HiSilicon Kirin 955,5119
NVIDIA Tegra 4,2263
Mediatek MT6750,2106
Samsung Exynos 5250,1216
Samsung Exynos 7870 Octa,3404
Qualcomm Snapdragon 410,1189
Mediatek MT6795,2492
Ti OMAP 4470,802
Spreadtrum SC9830,1172
Ti OMAP 4430,589
Qualcomm Snapdragon S4 MSM8960T,1038
Samsung Exynos 3470,1092
Intel Atom Z2560,2853
Qualcomm APQ8084 Snapdragon 805,2610
Qualcomm MSM8974AB Snapdragon 801,2496
Exynos 5 Octa 5410,1681
Qualcomm Snapdragon S4 Plus MSM8227,591
Qualcomm MSM8226 Snapdragon 400,1210
Ti OMAP 4460,667
Mediatek MT6795 Helio X10,3653
HiSilicon Kirin 655,3350
Samsung Exynos 7580,3191
HiSilicon Kirin 650,3356
Qualcomm MSM8996 Snapdragon 820,3994
NVIDIA Tegra 3 T30L,971
Mediatek MT6752m,3209
Qualcomm MSM8937 Snapdragon 430,2812
Samsung Exynos 7420,4198
Qualcomm MSM8929 Snapdragon 415,1680
Qualcomm MSM8996 Pro-AB Snapdragon 821,4096
Intel Atom Z3745,2202
Exynos 5 Octa 5420,2015
Mediatek MT6735,1531
Mediatek MT6737,1790
HiSilicon Kirin 935,2523
Qualcomm MSM8917 Snapdragon 425,1711
Qualcomm MSM8939 Snapdragon 615,1975
NVIDIA Tegra K1 Denver,2757
Samsung Exynos 7570,1719
HiSilicon Kirin 620,1975
Samsung Exynos 8895 Octa,6473
Qualcomm MSM8956 Snapdragon 650,3392
Qualcomm Snapdragon S4 MSM8960 Pro,1145
Samsung Exynos 7578,1818
Samsung Exynos 5433,3955
Samsung Exynos 5430,2432
Huawei HiSilicon Kirin 920 Hi3630,1744
