NVIDIA Tegra 3 T30,S2 2011
ST-Ericsson NovaThor U8420,S1 2011
Intel Atom x5-Z8500,S1 2015
Qualcomm MSM8939v2 Snapdragon 616,S1 2014
Nvidia Tegra X1,S1 2015
Hisilicon Kirin 960,S2 2016
Samsung Exynos 7880,S1 2017
Qualcomm MSM8998 Snapdragon 835,S1 2017
Qualcomm MSM8953 Snapdragon 625,S1 2016
Qualcomm Snapdragon 400,S1 2013
Qualcomm MSM8975AC Snapdragon 801,S1 2013
Qualcomm MSM8274AB Snapdragon 801,S1 2013
Samsung Exynos 5260,S1 2014
HiSilicon Kirin 950,S2 2015
Qualcomm Snapdragon S4 Pro APQ8064,S1 2012
Qualcomm MSM8994 Snapdragon 810,S1 2014
Samsung Exynos 7580 Octa,S2 2015
Mediatek MT6755 Helio P10,S2 2014
Samsung Exynos 4412,S1 2012
Qualcomm MSM8974AC Snapdragon 801,S1 2013
Samsung Exynos 4212,S2 2011
Qualcomm Snapdragon 600,S1 2013
Samsung Exynos 8890,S1 2016
Qualcomm MSM8992 Snapdragon 808,S1 2014
Qualcomm MSM8916 Snapdragon 410,S2 2013
Samsung Exynos 4210,S1 2011
Qualcomm MSM8976 Snapdragon 652,S1 2015
Mediatek MT6797T Helio X25,S1 2016
Qualcomm Snapdragon 800,S1 2013
MediaTek MT6595,S1 2014
NVIDIA Tegra K1,S1 2014
Mediatek MT6797 Helio X20,S1 2016
Qualcomm Snapdragon S4 MSM8960,S2 2013
Qualcomm MSM8952 Snapdragon 617,S2 2015
Mediatek MT6753,S1 2015
HiSilicon Kirin 955,S1 2016
NVIDIA Tegra 4,S1 2013
Mediatek MT6750,S2 2016
Samsung Exynos 5250,S2 2012
Samsung Exynos 7870 Octa,S1 2016
Qualcomm Snapdragon 410,S2 2013
Mediatek MT6795,S2 2014
Ti OMAP 4470,S2 2011
Spreadtrum SC9830,S1 2016
Ti OMAP 4430,S1 2011
Qualcomm Snapdragon S4 MSM8960T,S1 2012
Samsung Exynos 3470,S2 2014
Intel Atom Z2560,S1 2012
Qualcomm APQ8084 Snapdragon 805,S2 2013
Qualcomm MSM8974AB Snapdragon 801,S1 2013
Exynos 5 Octa 5410,S1 2013
Qualcomm Snapdragon S4 Plus MSM8227,S1 2012
Qualcomm MSM8226 Snapdragon 400,S2 2012
Ti OMAP 4460,S2 2011
Mediatek MT6795 Helio X10,S2 2014
HiSilicon Kirin 655,S2 2016
Samsung Exynos 7580,S2 2015
HiSilicon Kirin 650,S1 2016
Qualcomm MSM8996 Snapdragon 820,S2 2015
NVIDIA Tegra 3 T30L,S2 2011
Mediatek MT6752m,S2 2014
Qualcomm MSM8937 Snapdragon 430,S1 2016
Samsung Exynos 7420,S1 2015
Qualcomm MSM8929 Snapdragon 415,S1 2015
Qualcomm MSM8996 Pro-AB Snapdragon 821,S2 2016
Intel Atom Z3745,S1 2014
Exynos 5 Octa 5420,S2 2013
Mediatek MT6735,S2 2014
Mediatek MT6737,S1 2016
HiSilicon Kirin 935,S1 2015
Qualcomm MSM8917 Snapdragon 425,S1 2016
Qualcomm MSM8939 Snapdragon 615,S1 2014
NVIDIA Tegra K1 Denver,S2 2014
Samsung Exynos 7570,S1 2017
HiSilicon Kirin 620,S2 2014
Samsung Exynos 8895 Octa,S1 2017
Qualcomm MSM8956 Snapdragon 650,S1 2015
Qualcomm Snapdragon S4 MSM8960 Pro,S2 2013
Samsung Exynos 7578,S1 2016
Samsung Exynos 5433,S2 2014
Samsung Exynos 5430,S2 2014
Huawei HiSilicon Kirin 920 Hi3630,S2 2014
