NVIDIA Tegra 3 T30,422
ST-Ericsson NovaThor U8420,306
Intel Atom x5-Z8500,1053
Qualcomm MSM8939v2 Snapdragon 616,633
Nvidia Tegra X1,1356
Hisilicon Kirin 960,1885
Samsung Exynos 7880,775
Qualcomm MSM8998 Snapdragon 835,1904
Qualcomm MSM8953 Snapdragon 625,846
Qualcomm Snapdragon 400,629
Qualcomm MSM8975AC Snapdragon 801,938
Qualcomm MSM8274AB Snapdragon 801,911
Samsung Exynos 5260,707
HiSilicon Kirin 950,1814
Qualcomm Snapdragon S4 Pro APQ8064,663
Qualcomm MSM8994 Snapdragon 810,1280
Mediatek MT6755 Helio P10,771
Samsung Exynos 7580 Octa,639
Samsung Exynos 4412,582
Qualcomm MSM8974AC Snapdragon 801,1024
Samsung Exynos 4212,478
Qualcomm Snapdragon 600,735
Samsung Exynos 8890,1811
Qualcomm MSM8992 Snapdragon 808,1127
Qualcomm MSM8916 Snapdragon 410,552
Samsung Exynos 4210,463
Mediatek MT6797T Helio X25,1663
Qualcomm MSM8976 Snapdragon 652,1416
Qualcomm Snapdragon 800,990
MediaTek MT6595,764
NVIDIA Tegra K1,1024
Mediatek MT6797 Helio X20,1616
Qualcomm Snapdragon S4 MSM8960,475
Qualcomm MSM8952 Snapdragon 617,699
Mediatek MT6753,597
HiSilicon Kirin 955,1776
NVIDIA Tegra 4,877
Samsung Exynos 5250,800
Mediatek MT6750,625
Samsung Exynos 7870 Octa,703
Qualcomm Snapdragon 410,514
Mediatek MT6795,776
Ti OMAP 4470,487
Spreadtrum SC9830,443
Ti OMAP 4430,368
Qualcomm Snapdragon S4 MSM8960T,729
Samsung Exynos 3470,402
Intel Atom Z2560,1043
Qualcomm APQ8084 Snapdragon 805,1009
Qualcomm MSM8974AB Snapdragon 801,970
Exynos 5 Octa 5410,682
Qualcomm Snapdragon S4 Plus MSM8227,367
Qualcomm MSM8226 Snapdragon 400,468
Ti OMAP 4460,414
Mediatek MT6795 Helio X10,825
HiSilicon Kirin 655,811
Samsung Exynos 7580,640
HiSilicon Kirin 650,791
Qualcomm MSM8996 Snapdragon 820,1698
NVIDIA Tegra 3 T30L,383
Mediatek MT6752m,786
Qualcomm MSM8937 Snapdragon 430,836
Samsung Exynos 7420,1359
Qualcomm MSM8929 Snapdragon 415,607
Qualcomm MSM8996 Pro-AB Snapdragon 821,1816
Intel Atom Z3745,908
Exynos 5 Octa 5420,806
Mediatek MT6735,590
Mediatek MT6737,664
HiSilicon Kirin 935,762
Qualcomm MSM8917 Snapdragon 425,663
Qualcomm MSM8939 Snapdragon 615,634
NVIDIA Tegra K1 Denver,1719
Samsung Exynos 7570,599
HiSilicon Kirin 620,540
Samsung Exynos 8895 Octa,1960
Qualcomm MSM8956 Snapdragon 650,1407
Qualcomm Snapdragon S4 MSM8960 Pro,742
Samsung Exynos 7578,612
Samsung Exynos 5433,1365
Samsung Exynos 5430,840
Huawei HiSilicon Kirin 920 Hi3630,737
