semester,DesktopSingleCore,DesktopMultiCore,MobileSingleCore,MobileMultiCore
1 2007,1303,2078,,
7 2007,1369,2202,,
1 2008,1557,3994,,
7 2008,2772,9044,,
1 2009,2922,10214,,
7 2009,2922,10214,,
1 2010,2943,13422,,
7 2010,3842,13422,,
1 2011,3842,14119,,
7 2011,3927,18705,,
1 2012,4109,18705,1043,2853
7 2012,4109,18705,1043,2853
1 2013,4535,23650,1043,2853
7 2013,4535,23650,1043,2853
1 2014,4894,29320,1280,3393
7 2014,4894,29320,1719,3955
1 2015,5341,29343,1719,4238
7 2015,5341,29343,1814,5383
1 2016,5341,30205,1814,5383
7 2016,5709,30205,1885,6064
1 2017,5742,33521,1960,6473
7 2017,5957,33521,1960,6473
